1772942174.4983692,2,32.7,17.12,77.0
1772942176.460554,2,32.7,17.07,81.0
1772942177.4605038,2,32.71,17.11,83.0
1772942178.4656632,2,32.7,17.17,84.0
1772942179.478638,2,32.71,17.11,83.0
1772942180.4786594,2,32.7,17.17,83.0
1772942182.4784882,2,32.7,17.19,83.0
1772942182.4786265,2,32.7,17.16,82.0
1772942184.4795115,2,32.7,17.22,82.0
1772942184.4796536,2,32.71,17.35,82.0
1772942185.479657,2,32.72,17.4,82.0
1772942186.4795218,2,32.72,17.28,82.0
1772942187.4795587,2,32.72,17.2,82.0
1772942188.4954982,2,32.72,17.09,82.0
1772942189.495555,2,32.74,17.14,82.0
1772942191.495485,2,32.72,17.11,82.0
1772942191.4956577,2,32.75,17.19,82.0
1772942192.4955106,2,32.75,17.14,82.0
1772942193.4957147,2,32.75,17.11,82.0
1772942194.495701,2,32.77,16.88,82.0
1772942195.495734,2,32.74,16.85,82.0
1772942196.4956186,2,32.74,17.04,82.0
1772942198.4605813,2,32.77,17.25,82.0
1772942199.461774,2,32.75,17.12,82.0
1772942200.4646475,2,32.74,17.01,82.0
1772942201.5017636,2,32.74,16.93,82.0
1772942204.465776,2,32.74,16.8,82.0
1772942204.4659219,2,32.75,16.63,82.0
1772942205.4998202,2,32.78,16.62,82.0
1772942206.499693,2,32.77,16.59,82.0
1772942208.4997878,2,32.75,16.5,82.0
1772942208.4999316,2,32.75,16.52,82.0
1772942209.4997797,2,32.77,16.62,82.0
1772942212.461556,2,32.78,16.81,82.0
1772942212.4617004,2,32.78,16.86,82.0
1772942213.4767632,2,32.77,16.81,71.0
1772942214.4847186,2,32.81,16.81,65.0
1772942216.4845707,2,32.81,16.8,65.0
1772942216.484735,2,32.81,16.9,65.0
1772942217.4848228,2,32.81,17.06,65.0
1772942218.4848313,2,32.8,18.11,65.0
1772942221.468826,2,32.41,18.49,65.0
1772942221.4689748,2,32.29,18.52,65.0
1772942222.4738588,2,32.24,18.17,65.0
1772942223.4738393,2,32.2,17.87,52.0
1772942224.473873,2,32.22,18.21,52.0
1772942225.4738631,2,32.23,18.73,52.0
1772942227.4638839,2,32.13,18.25,52.0
1772942228.4638882,2,32.12,17.7,52.0
1772942230.482766,2,32.08,17.29,52.0
1772942230.4829202,2,32.05,16.95,52.0
1772942232.4826946,2,32.03,16.73,30.0
1772942232.4828353,2,31.99,16.57,22.0
1772942233.4827087,2,31.96,16.49,22.0
1772942234.48277,2,31.93,16.36,28.0
1772942236.4607975,2,31.92,16.35,33.0
1772942237.4610271,2,31.9,16.37,31.0
1772942238.4728403,2,31.89,16.43,36.0
1772942239.472787,2,31.88,16.48,37.0
1772942240.4729712,2,31.89,16.45,41.0
1772942241.4729762,2,31.89,16.45,43.0
1772942242.4729695,2,31.84,16.5,47.0
1772942244.4629576,2,31.78,16.53,53.0
1772942245.4629898,2,31.74,16.51,55.0
1772942246.462961,2,31.72,16.47,56.0
1772942247.465991,2,31.71,16.49,62.0
1772942248.482966,2,31.68,16.42,60.0
1772942250.4828634,2,31.65,16.39,60.0
1772942250.4830077,2,31.64,16.41,60.0
1772942252.4620302,2,31.57,16.39,62.0
1772942253.4620104,2,31.55,16.45,62.0
1772942255.4690194,2,31.52,16.53,64.0
1772942255.4691799,2,31.48,16.53,64.0
1772942258.46205,2,31.45,16.68,59.0
1772942258.462194,2,31.41,16.66,54.0
1772942260.4610198,2,31.3,16.75,54.0
1772942261.4609027,2,31.31,16.73,53.0
1772942262.4630804,2,31.27,16.71,53.0
1772942263.4629989,2,31.24,16.69,52.0
1772942264.465066,2,31.18,16.73,50.0
1772942265.466632,2,31.18,16.73,47.0
1772942266.4670994,2,31.16,16.71,45.0
1772942268.4770358,2,31.13,16.79,44.0
1772942271.4620976,2,31.09,16.79,42.0
1772942271.462337,2,31.06,16.83,40.0
1772942272.4700348,2,31.03,16.87,38.0
1772942273.4700794,2,30.99,16.85,36.0
1772942274.4699967,2,30.97,16.88,35.0
1772942276.461144,2,30.94,16.93,34.0
1772942277.463136,2,30.93,16.96,33.0
1772942278.4631226,2,30.89,16.99,32.0
1772942279.4631298,2,30.87,16.99,31.0
1772942280.463166,2,30.83,17.05,29.0
1772942281.4701066,2,30.82,17.09,28.0
1772942282.475171,2,30.82,17.05,27.0
1772942284.4621465,2,30.76,17.08,26.0
1772942286.4720986,2,30.75,17.12,25.0
1772942286.4723828,2,30.7,17.18,24.0
1772942287.472086,2,30.68,17.16,23.0
1772942288.4721813,2,30.66,17.19,22.0
1772942289.4721577,2,30.66,17.24,21.0
1772942290.4741461,2,30.66,17.27,21.0
1772942291.474127,2,30.62,17.29,21.0
1772942292.4740953,2,30.61,17.3,21.0
1772942294.474131,2,30.61,17.3,21.0
1772942294.474358,2,30.56,17.35,21.0
1772942295.474097,2,30.56,17.33,21.0
1772942296.4741158,2,30.52,17.38,21.0
1772942297.4741163,2,30.52,17.4,21.0
1772942298.4751298,2,30.52,17.44,21.0
1772942301.4611778,2,30.46,17.51,21.0
1772942301.4614348,2,30.45,17.49,21.0
1772942302.4792593,2,30.41,17.59,21.0
1772942303.4792602,2,30.41,17.52,21.0
1772942304.4792998,2,30.39,17.57,21.0
1772942305.479275,2,30.35,17.62,21.0
1772942307.4621696,2,30.33,17.71,21.0
1772942308.4622598,2,30.31,17.7,22.0
1772942309.4622202,2,30.31,17.71,22.0
1772942310.4622083,2,30.28,17.82,22.0
