2025,1,1,0,30,0
2025,1,1,1,30,0
2025,1,1,2,30,0
2025,1,1,3,30,0
2025,1,1,4,30,0
2025,1,1,5,30,0
2025,1,1,6,30,0
2025,1,1,7,30,521
2025,1,1,8,30,787
2025,1,1,9,30,896
2025,1,1,10,30,948
2025,1,1,11,30,962
2025,1,1,12,30,958
2025,1,1,13,30,922
2025,1,1,14,30,854
2025,1,1,15,30,707
2025,1,1,16,30,322
2025,1,1,17,30,0
2025,1,1,18,30,0
2025,1,1,19,30,0
2025,1,1,20,30,0
2025,1,1,21,30,0
2025,1,1,22,30,0
2025,1,1,23,30,0
2025,1,2,0,30,0
2025,1,2,1,30,0
2025,1,2,2,30,0
2025,1,2,3,30,0
2025,1,2,4,30,0
2025,1,2,5,30,0
2025,1,2,6,30,0
2025,1,2,7,30,534
2025,1,2,8,30,804
2025,1,2,9,30,914
2025,1,2,10,30,965
2025,1,2,11,30,994
2025,1,2,12,30,983
2025,1,2,13,30,956
2025,1,2,14,30,892
2025,1,2,15,30,752
2025,1,2,16,30,374
2025,1,2,17,30,0
2025,1,2,18,30,0
2025,1,2,19,30,0
2025,1,2,20,30,0
2025,1,2,21,30,0
2025,1,2,22,30,0
2025,1,2,23,30,0
2025,1,3,0,30,0
2025,1,3,1,30,0
2025,1,3,2,30,0
2025,1,3,3,30,0
2025,1,3,4,30,0
2025,1,3,5,30,0
2025,1,3,6,30,0
2025,1,3,7,30,449
2025,1,3,8,30,740
2025,1,3,9,30,858
2025,1,3,10,30,924
2025,1,3,11,30,948
2025,1,3,12,30,947
2025,1,3,13,30,908
2025,1,3,14,30,839
2025,1,3,15,30,703
2025,1,3,16,30,357
2025,1,3,17,30,0
2025,1,3,18,30,0
2025,1,3,19,30,0
2025,1,3,20,30,0
2025,1,3,21,30,0
2025,1,3,22,30,0
2025,1,3,23,30,0
2025,1,4,0,30,0
2025,1,4,1,30,0
2025,1,4,2,30,0
2025,1,4,3,30,0
2025,1,4,4,30,0
2025,1,4,5,30,0
2025,1,4,6,30,0
2025,1,4,7,30,444
2025,1,4,8,30,731
2025,1,4,9,30,864
2025,1,4,10,30,917
2025,1,4,11,30,942
2025,1,4,12,30,941
2025,1,4,13,30,917
2025,1,4,14,30,850
2025,1,4,15,30,712
2025,1,4,16,30,365
2025,1,4,17,30,0
2025,1,4,18,30,0
2025,1,4,19,30,0
2025,1,4,20,30,0
2025,1,4,21,30,0
2025,1,4,22,30,0
2025,1,4,23,30,0
2025,1,5,0,30,0
2025,1,5,1,30,0
2025,1,5,2,30,0
2025,1,5,3,30,0
2025,1,5,4,30,0
2025,1,5,5,30,0
2025,1,5,6,30,0
2025,1,5,7,30,498
